
RS	10693929	51671	483.18
SC	6248436	28562	457.11
PR	10444526	43245	414.04
SP	41262199	166221	402.84
DF	2570160	10332	402.00
RJ	15989929	55950	349.91
MS	2449024	8183	334.13
GO	6003788	19721	328.48
MT	3035122	9719	320.22
PE	8796448	28019	318.53
RR	450479	1401	311.00
ES	3514952	10881	309.56
MG	19597330	60000	306.16
RO	1562409	4775	305.62
TO	1383445	4056	293.18
AP	669526	1884	281.39
AL	3120494	8674	277.97
PA	7581051	20080	264.87
AM	3483985	8834	253.56
PB	3766528	9548	253.50
BA	14016906	32135	229.26
MA	6574789	14837	225.67
AC	733559	1644	224.11
SE	2068017	4611	222.97
RN	3168027	6373	201.17
PI	3118360	5792	185.74
CE	8452381	15516	183.57
